label,host,in_docker,cpu_model,cpu_threads,gpu_name,gl_max_texture,gl_renderer,os,python,numpy,metadrive,timestamp,dataset,scenario_id,step_hz,sim_dt_s,physics_hz,physics_dt_s,decision_repeat,physics_ticks_per_sim_second,row,render,policy,sensors,camera_read_mode,camera_rig,camera_count,camera_size,camera_mb_per_step,camera_hz,stack_size,norm_pixel,observation_kind,force_fps,max_lateral_m,status,skip_reason,steps,measured_steps,warmup_steps,sim_seconds,wall_seconds,realtime_factor,reset_seconds,step_ms_mean,step_ms_median,step_ms_p95,step_ms_p99,step_ms_max,policy_ms_median,sensor_ms_median,rig_ms_median,arrive_dest,ended_by
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,NVIDIA GeForce RTX 5080/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,1,offscreen,replay,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,400,380,20,38.0,4.033823798992671,9.42034206092229,3.364617730025202,7.32823145104033,7.096435001585633,9.522649610880762,12.086730191949748,13.469691039063036,0.00038009602576494217,0.031214498449116945,1.0660180123522878,yes,arrive_dest
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,NVIDIA GeForce RTX 5080/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,2,offscreen,idm,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,4.335396382026374,9.18024477877093,3.362070246017538,7.678575353959023,7.203604909591377,12.025290977908298,13.630341105163097,15.235258033499122,0.16334501560777426,0.030839990358799696,1.0110174771398306,no,ran out of budget
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-10hz,,10.0,,50.0,,,,3,offscreen,remote,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,,20.0,skipped,needs --policy-url,,,,,,,,,,,,,,,,,
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,NVIDIA GeForce RTX 5080/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,4,offscreen,idm,camera x7,observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,4.261867017950863,9.338630190093575,3.3243768860120326,7.508461566024165,7.1063495124690235,11.882620042888446,12.54986826679669,13.443420990370214,0.16655499348416924,0.00013993121683597565,1.0007424862124026,no,ran out of budget
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,NVIDIA GeForce RTX 5080/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,100.0,0.01,10,100.0,5,offscreen,idm,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,10.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,2.9345491480780765,13.562560376971776,3.3051635259762406,6.430820711998353,6.3717064913362265,6.6621045174542814,6.858105192659407,8.206581929698586,0.12105947826057673,0.021995045244693756,0.7825434440746903,no,ran out of budget
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-10hz,mosque-b1fe3e0cc9bc58ec-t,10.0,0.1,50.0,0.02,5,50.0,6,none,idm,"imu,gps",none,cams.txt,0,,,,,,lidarstate161,UnlimitedFPS,20.0,ok,,418,398,20,39.800000000000004,0.2573363269912079,154.6614131993879,0.345968610025011,0.5448230693757946,0.5440834793262184,0.5732808320317417,0.5785513913724571,0.5811690352857113,0.08414452895522118,0.015610014088451862,6.996560841798782e-05,no,ran out of budget
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,NVIDIA GeForce RTX 5080/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-100hz,mosque-b1fe3e0cc9bc58ec-t,100.0,0.01,100.0,0.01,1,100.0,1,offscreen,replay,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,3998,3978,20,39.78,26.696226201951504,1.4900982520552688,3.3937859089346603,5.8768200965494275,5.846673040650785,6.038417696254328,6.963966442272067,7.767894072458148,0.0002100132405757904,0.020940089598298073,0.8016480132937431,yes,arrive_dest
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,NVIDIA GeForce RTX 5080/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-100hz,mosque-b1fe3e0cc9bc58ec-t,100.0,0.01,100.0,0.01,1,100.0,2,offscreen,idm,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,4175,4155,20,41.550000000000004,37.61319889803417,1.1046654157929543,3.300151737057604,7.377190906363937,6.637886050157249,12.334736052434891,14.052128116600215,15.16992796678096,0.12445996981114149,0.02277002204209566,0.8356780745089054,no,ran out of budget
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-100hz,,100.0,,100.0,,,,3,offscreen,remote,"camera x7,imu,gps",observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,,20.0,skipped,needs --policy-url,,,,,,,,,,,,,,,,,
sim,sim,yes,AMD Ryzen 9 9950X3D 16-Core Processor,32,NVIDIA GeForce RTX 5080,32768,NVIDIA GeForce RTX 5080/PCIe/SSE2,Linux 7.0.0-29-generic,3.10.21,2.2.6,MetaDrive v0.4.3,2026-08-22-04:10:57,scenarionet-100hz,mosque-b1fe3e0cc9bc58ec-t,100.0,0.01,100.0,0.01,1,100.0,4,offscreen,idm,camera x7,observation,cams.txt,7,512x288,5.419,100.0,3,True,image+state41,UnlimitedFPS,20.0,ok,,4175,4155,20,41.550000000000004,43.128039633040316,0.9634103556185898,3.4476389460032806,8.224779308664868,7.31238501612097,13.001933984924108,14.120570817030966,15.551907010376453,0.1526189735159278,8.998904377222061e-05,1.000338001176715,no,ran out of budget
